[2022-02-19 23:14:36] MYD04_3K.A2002245.1640.061.2018004073252.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:14:36] MYD04_3K.A2002245.1730.061.2018004073237.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:15:48] MYD04_3K.A2002245.1820.061.2018004073240.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:15:48] MYD04_3K.A2002245.1910.061.2018004073328.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:17:00] MYD04_3K.A2002245.2000.061.2018004073415.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:19:13] MYD04_3K.A2002246.0005.061.2018004073622.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:20:12] MYD04_3K.A2002246.0145.061.2018004073735.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:21:06] MYD04_3K.A2002246.0235.061.2018004073727.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:21:06] MYD04_3K.A2002246.0325.061.2018004073812.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:22:06] MYD04_3K.A2002246.0415.061.2018004073818.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:23:14] MYD04_3K.A2002246.0640.061.2018004073912.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:24:18] MYD04_3K.A2002246.0820.061.2018004073956.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:25:18] MYD04_3K.A2002246.0910.061.2018004074100.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:25:18] MYD04_3K.A2002246.1000.061.2018004074101.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:26:24] MYD04_3K.A2002246.1050.061.2018004074158.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:28:38] MYD04_3K.A2002246.1455.061.2018004074306.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:29:36] MYD04_3K.A2002246.1545.061.2018004074400.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:29:36] MYD04_3K.A2002246.1635.061.2018004074406.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:30:43] MYD04_3K.A2002246.1725.061.2018004074441.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:30:43] MYD04_3K.A2002246.1815.061.2018004074516.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:31:56] MYD04_3K.A2002246.1905.061.2018004074510.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:33:07] MYD04_3K.A2002246.2130.061.2018004074621.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:34:11] MYD04_3K.A2002246.2310.061.2018004074654.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:35:11] MYD04_3K.A2002247.0050.061.2018004074814.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:36:05] MYD04_3K.A2002247.0140.061.2018004074844.hdf, error: autodetected range of [nan, nan] is not finite
